ligand,best_ddg,ddg_rank,ddg_percentile,best_interaction,interaction_rank,interaction_percentile,best_real_motif_count,real_motif_count_rank,real_motif_count_percentile,best_real_motif_ratio,real_motif_ratio_rank,real_motif_ratio_percentile,
ZINC000305339642,-25.021983,45,0.00460075656885799,12.0,1485,0.15182496677231366,7.0,10,0.0010223903486351088,0.875,146,0.01492689909007259,
ZINC000269761690,-23.665339,127,0.012984357427665882,12.0,1485,0.15182496677231366,7.0,10,0.0010223903486351088,1.0,1,0.00010223903486351089,
ZINC000677296032,-22.199704,333,0.03404559860954912,12.0,1485,0.15182496677231366,7.0,10,0.0010223903486351088,1.0,1,0.00010223903486351089,
Z4135312239,-21.585884,486,0.049688170943666295,11.0,4222,0.43165320519374295,3.0,2669,0.27287598405071056,0.375,5621,0.5746856149677947,
ZINC001170690351,-19.636309,1382,0.14129434618137204,11.0,4222,0.43165320519374295,5.0,301,0.030773949493916777,0.75,424,0.043349350782128614,
Z4135312264,-19.438844,1493,0.15264287905122176,12.0,1485,0.15182496677231366,4.0,974,0.0995808199570596,0.5,2307,0.2358654534301196,
ZINC000897222313,-19.349084,1572,0.16071976280543912,12.0,1485,0.15182496677231366,5.0,301,0.030773949493916777,0.75,424,0.043349350782128614,
ZINC000443438219,-19.287678,1615,0.16511604130457008,11.0,4222,0.43165320519374295,5.0,301,0.030773949493916777,0.75,424,0.043349350782128614,
Z4145515674,-19.192011,1678,0.17155710050097128,12.0,1485,0.15182496677231366,6.0,51,0.0052141907780390555,0.8,246,0.02515080257642368,
ZINC000863582102,-19.144577,1709,0.1747265105817401,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,0.75,424,0.043349350782128614,
ZINC000277296162,-19.070126,1762,0.1801451794295062,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,0.75,424,0.043349350782128614,
ZINC000348114651,-18.303925,2383,0.24363562007974646,12.0,1485,0.15182496677231366,6.0,51,0.0052141907780390555,1.0,1,0.00010223903486351089,
ZINC000443438221,-18.297651,2389,0.24424905428892751,12.0,1485,0.15182496677231366,4.0,974,0.0995808199570596,0.75,424,0.043349350782128614,
ZINC000294308141,-18.25153,2434,0.24884981085778551,10.0,6451,0.6595440139045088,6.0,51,0.0052141907780390555,1.0,1,0.00010223903486351089,
ZINC000853098204,-18.207859,2476,0.25314385032205294,12.0,1485,0.15182496677231366,5.0,301,0.030773949493916777,0.625,1368,0.1398629996932829,
ZINC000580533739,-17.762514,2869,0.2933237910234127,12.0,1485,0.15182496677231366,5.0,301,0.030773949493916777,0.555556,2271,0.23218484817503324,
ZINC000417864931,-17.62302,3015,0.3082506901134853,12.0,1485,0.15182496677231366,5.0,301,0.030773949493916777,0.571429,2061,0.21071465085369595,
ZINC000623756919,-17.62234,3017,0.30845516818321234,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,0.8,246,0.02515080257642368,
ZINC000657329003,-17.365223,3285,0.33585522952663327,13.0,172,0.017585113996523873,4.0,974,0.0995808199570596,0.666667,858,0.08772109191289235,
ZINC000894225026,-17.330513,3334,0.3408649422349453,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,0.75,424,0.043349350782128614,
ZINC000236204386,-17.240269,3450,0.3527246702791126,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,1.0,1,0.00010223903486351089,
Z4167665784,-17.182531,3503,0.3581433391268786,12.0,1485,0.15182496677231366,4.0,974,0.0995808199570596,0.6,1418,0.14497495143645844,
ZINC000044494100,-17.120768,3575,0.3655045496370514,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,1.0,1,0.00010223903486351089,
ZINC000623997601,-16.720037,4008,0.4097740517329516,13.0,172,0.017585113996523873,5.0,301,0.030773949493916777,0.75,424,0.043349350782128614,
ZINC000420267969,-16.578765,4167,0.42603005827624985,12.0,1485,0.15182496677231366,6.0,51,0.0052141907780390555,0.8,246,0.02515080257642368,
ZINC000900380018,-16.24437,4538,0.4639607402106124,11.0,4222,0.43165320519374295,4.0,974,0.0995808199570596,0.666667,858,0.08772109191289235,
ZINC000634713432,-14.207893,6892,0.704631428279317,10.0,6451,0.6595440139045088,4.0,974,0.0995808199570596,0.75,424,0.043349350782128614,
ZINC000387330406,-10.58403,9460,0.967181269808813,7.0,9459,0.9670790307739495,2.0,5683,0.5810244351293323,0.5,2307,0.2358654534301196,
