ligand,best_ddg,ddg_rank,ddg_percentile,best_interaction,interaction_rank,interaction_percentile,best_real_motif_count,real_motif_count_rank,real_motif_count_percentile,best_real_motif_ratio,real_motif_ratio_rank,real_motif_ratio_percentile,
Z4510627652,-22.415302,1,0.00010040160642570282,14.0,748,0.0751004016064257,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z4510628191,-22.376932,2,0.00020080321285140563,12.0,4523,0.45411646586345383,4.0,1157,0.11616465863453815,0.75,1323,0.1328313253012048,
Z4857158944,-21.627406,8,0.0008032128514056225,16.0,4,0.00040160642570281126,7.0,9,0.0009036144578313253,1.0,1,0.00010040160642570282,
ZINC000895657866,-20.718167,30,0.0030120481927710845,15.0,108,0.010843373493975903,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z4493929234,-19.846248,80,0.008032128514056224,15.0,108,0.010843373493975903,7.0,9,0.0009036144578313253,1.0,1,0.00010040160642570282,
ZINC000450573233,-19.81003,84,0.008433734939759036,14.0,748,0.0751004016064257,7.0,9,0.0009036144578313253,1.0,1,0.00010040160642570282,
ZINC000533478938,-19.364113,126,0.012650602409638554,16.0,4,0.00040160642570281126,5.0,299,0.030020080321285142,0.75,1323,0.1328313253012048,
Z1241145220,-18.501317,297,0.029819277108433736,14.0,748,0.0751004016064257,8.0,1,0.00010040160642570282,1.0,1,0.00010040160642570282,
ZINC000544117725,-17.797383,569,0.0571285140562249,12.0,4523,0.45411646586345383,5.0,299,0.030020080321285142,1.0,1,0.00010040160642570282,
ZINC000921927365,-17.679589,624,0.06265060240963856,14.0,748,0.0751004016064257,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z4634276811,-17.242367,899,0.09026104417670683,13.0,2361,0.23704819277108433,5.0,299,0.030020080321285142,0.666667,2144,0.21526104417670683,
Z1665845742,-17.142955,957,0.09608433734939759,14.0,748,0.0751004016064257,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z4430417979,-16.79318,1227,0.12319277108433735,13.0,2361,0.23704819277108433,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z1665798906,-16.736784,1284,0.12891566265060242,13.0,2361,0.23704819277108433,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
Z4430418526,-16.293712,1710,0.1716867469879518,12.0,4523,0.45411646586345383,4.0,1157,0.11616465863453815,1.0,1,0.00010040160642570282,
ZINC000656714762,-16.090984,1962,0.19698795180722892,13.0,2361,0.23704819277108433,4.0,1157,0.11616465863453815,1.0,1,0.00010040160642570282,
Z4510628128,-16.070201,1979,0.19869477911646585,13.0,2361,0.23704819277108433,5.0,299,0.030020080321285142,1.0,1,0.00010040160642570282,
ZINC000548355486,-16.040226,2009,0.20170682730923695,14.0,748,0.0751004016064257,5.0,299,0.030020080321285142,0.75,1323,0.1328313253012048,
ZINC001170548029,-15.824515,2268,0.22771084337349398,14.0,748,0.0751004016064257,5.0,299,0.030020080321285142,0.8,881,0.08845381526104418,
ZINC000348332392,-15.571451,2606,0.2616465863453815,13.0,2361,0.23704819277108433,6.0,55,0.005522088353413655,1.0,1,0.00010040160642570282,
ZINC001196519317,-15.401071,2874,0.2885542168674699,12.0,4523,0.45411646586345383,5.0,299,0.030020080321285142,1.0,1,0.00010040160642570282,
ZINC001460312963,-14.972479,3547,0.3561244979919679,13.0,2361,0.23704819277108433,5.0,299,0.030020080321285142,0.666667,2144,0.21526104417670683,
ZINC001237901728,-14.526073,4362,0.43795180722891563,13.0,2361,0.23704819277108433,4.0,1157,0.11616465863453815,0.6,3083,0.30953815261044176,
ZINC001254761628,-13.652978,5940,0.5963855421686747,11.0,6543,0.6569277108433735,6.0,55,0.005522088353413655,0.8,881,0.08845381526104418,
ZINC000170908795,-12.273125,8301,0.833433734939759,11.0,6543,0.6569277108433735,4.0,1157,0.11616465863453815,0.666667,2144,0.21526104417670683,
