,Start Time:,2025-10-16 08:00:00, End Time:,2025-10-18 08:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-16 08:00:00,32,3.46,8,3.27,4.18,4.5,5.2,5.59,8.52
2025-10-16 09:00:00,33,9.46,4.88,6.12,5.33,11.38,5.18,6.15,6.13
2025-10-16 10:00:00,34,7.3,4.17,5.82,4.29,6.26,6.36,6.71,6.05
2025-10-16 11:00:00,35,9.71,4.31,10.57,4.69,6.08,4.55,8.88,5.38
2025-10-16 12:00:00,36,8.32,4.59,5.6,5.04,6,4,7.44,6.33
2025-10-16 13:00:00,37,6.64,3.92,4.44,6.18,5.71,6.95,6.38,4.97
2025-10-16 14:00:00,38,5.48,5.25,6.67,5.62,6.59,4.95,7.37,5.23
2025-10-16 15:00:00,39,12.06,5.93,5.61,7.26,6.46,5.17,10.3,7.29
2025-10-16 16:00:00,40,6.33,7.45,8.94,6.96,3.75,3.5,5.81,6.85
2025-10-16 17:00:00,41,5.13,7.23,4.88,4.74,8,3.91,4.32,5.96
2025-10-16 18:00:00,42,5.45,3.88,6.44,3.17,6.44,5.43,7.73,8.6
2025-10-16 19:00:00,43,6.29,5.47,5.5,4.5,3.78,5.73,6.74,4.48
2025-10-16 20:00:00,44,7.47,10,5.73,2,7.33,0,5.78,6.57
2025-10-16 21:00:00,45,4.48,6,5,8,7.33,4,10.4,6.33
2025-10-16 22:00:00,46,5.6,5.43,4.55,0,6.75,0,11.11,4.52
2025-10-16 23:00:00,47,4.7,5.33,3.18,2,3.88,5.69,5.33,8
2025-10-17 00:00:00,48,5.64,5.2,7.43,4.36,3.93,5.33,4,5.39
2025-10-17 01:00:00,49,6.64,6.21,4.67,3.8,3.83,4.13,4,7.8
2025-10-17 02:00:00,50,4.89,5.3,5.29,4.54,8.07,6,9.5,5.67
2025-10-17 03:00:00,51,6.81,8,5.86,6.29,5.19,5.5,3.24,6.99
2025-10-17 04:00:00,52,5.82,5.83,6.78,5.17,4,3.38,6.15,10.57
2025-10-17 05:00:00,53,4,6.4,6.18,3.94,5,2,7.52,4
2025-10-17 06:00:00,54,7.66,5.86,4.67,9,4,4.8,4.4,6.89
2025-10-17 07:00:00,55,6.84,6,9.5,4.81,4.43,0,4.18,9.91
2025-10-17 08:00:00,56,10,8.67,5.2,7.46,4.48,6.36,2,6.15
2025-10-17 09:00:00,57,4.88,6.63,5.66,5.63,5.65,6.26,5.67,6.07
2025-10-17 10:00:00,58,6.88,5.96,6.05,6.13,6.42,5.33,4.38,3.9
2025-10-17 11:00:00,59,8.06,7.33,5.1,6.5,5.42,6.96,8,7.45
2025-10-17 12:00:00,60,6.38,6,5.5,7.1,4.69,6.56,6,3.45
2025-10-17 13:00:00,61,5.52,2.67,5.93,3.55,6.14,4.46,5.33,4.25
2025-10-17 14:00:00,62,4.33,6.32,5,8.69,8.13,7.6,5.24,6.9
2025-10-17 15:00:00,63,4.92,6.5,9.33,6.31,6.15,6.94,6.08,6.31
2025-10-17 16:00:00,64,7.19,10.09,9.24,6.25,3.5,3.2,5.7,8.49
2025-10-17 17:00:00,65,6.28,5.84,7.14,5.9,5,3.17,6.12,5.37
2025-10-17 18:00:00,66,5.67,5.54,8.73,5.17,4.67,4.27,5.77,7.94
2025-10-17 19:00:00,67,5.58,6.57,6.85,4.73,5.67,6.18,5.68,6.63
2025-10-17 20:00:00,68,6.15,3.6,7.74,5,3.45,0,9.14,5.07
2025-10-17 21:00:00,69,5.3,5.14,4.6,6.67,6.92,2,7.43,6.53
2025-10-17 22:00:00,70,6.44,5.6,8.67,4,4.97,0,4.44,3.83
2025-10-17 23:00:00,71,6.75,6.05,3.83,4,6.29,2,8,3.23
2025-10-18 00:00:00,72,6.21,7.2,5.21,4,4.96,3.14,8,7.74
2025-10-18 01:00:00,73,7.52,7.19,5.5,5.09,3.67,3.53,5.57,7.4
2025-10-18 02:00:00,74,4.4,9.33,4.73,3.85,4.67,10.15,5.06,7.9
2025-10-18 03:00:00,75,7.13,8.73,6.18,5.41,4.71,4.22,5.17,7.89
2025-10-18 04:00:00,76,7.41,7.73,6.32,5.92,3.5,3.68,5.42,6.62
2025-10-18 05:00:00,77,7.79,11.85,10.23,4,2,2.67,3.57,4.8
2025-10-18 06:00:00,78,5.9,6.13,4,3.5,5.43,2,5.58,2.89
2025-10-18 07:00:00,79,8.15,5.31,4.5,5,4,4.17,6.86,8.13
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
