,Start Time:,2025-10-16 08:00:00, End Time:,2025-10-18 08:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,32,7,7.54,8,7.5,7.04,7.33,9.43,12.57
2025-10-16 09:00:00,33,6.51,7.78,7.77,6.21,7.7,5,3.33,3
2025-10-16 10:00:00,34,5.51,9.92,8.13,6.35,3.87,3.67,10.67,10.12
2025-10-16 11:00:00,35,6.14,5.45,6.64,6,7.36,6.5,5.17,8.72
2025-10-16 12:00:00,36,8.23,6.82,5.73,4,6.88,4.52,6.56,5.64
2025-10-16 13:00:00,37,5.79,6.88,4.18,4.36,8.23,4.87,5.09,4.48
2025-10-16 14:00:00,38,5.04,7.77,4.27,5.78,10.44,4.42,4.43,6.71
2025-10-16 15:00:00,39,7.86,9.72,6.67,5.58,6.92,4.92,5.28,8.64
2025-10-16 16:00:00,40,6.08,9.64,6.37,7.6,5.53,7.52,5.88,6.33
2025-10-16 17:00:00,41,5.66,5.19,7.19,3.47,7.84,6.69,6.5,4.11
2025-10-16 18:00:00,42,7.91,7.12,6,3.73,6.61,4.94,6.5,7.14
2025-10-16 19:00:00,43,6.52,6.67,6.18,4.1,4.88,4.83,7.89,8
2025-10-16 20:00:00,44,3.82,5.43,8,3.5,13,5.07,10.5,10
2025-10-16 21:00:00,45,4.8,4.17,4.67,4,3.33,2,7,6
2025-10-16 22:00:00,46,8.62,4.84,6,4.5,7.11,6,8.25,4
2025-10-16 23:00:00,47,5.64,6.44,4.25,6,4.5,6,2.57,0
2025-10-17 00:00:00,48,5.47,5.78,3.83,4.11,7.8,7.22,13,14
2025-10-17 01:00:00,49,6.47,6,5,5.2,10.5,5.45,2.67,3.33
2025-10-17 02:00:00,50,6.24,8,10.62,9,6.77,3,4.09,3.09
2025-10-17 03:00:00,51,8,5.19,3.07,3.7,5.22,5.04,3.2,5
2025-10-17 04:00:00,52,7.45,7,3.33,5.06,6.75,4.67,11.26,2.25
2025-10-17 05:00:00,53,8.21,6,4,3.29,7.14,4,6.17,8
2025-10-17 06:00:00,54,5.45,5.12,6,5.73,4.67,13,8.4,7
2025-10-17 07:00:00,55,4.9,5.09,8.83,2,3.4,4.5,10.8,5.52
2025-10-17 08:00:00,56,4,4,7.14,6.91,3.67,4,4.67,4.5
2025-10-17 09:00:00,57,6.81,5.49,10.07,7.06,5.5,5.3,3.6,7.17
2025-10-17 10:00:00,58,4.91,7.16,5.76,7.37,9.71,6.93,4.17,8.36
2025-10-17 11:00:00,59,5.63,7.25,4.88,4.86,5.93,7,6.27,11.3
2025-10-17 12:00:00,60,6.52,7,7.42,7.21,4.38,13.38,6.64,7.14
2025-10-17 13:00:00,61,7.2,6.89,4.97,8.39,6.37,5,9.19,5.77
2025-10-17 14:00:00,62,3.91,8.88,5.77,5.38,7.85,5.23,6.19,6
2025-10-17 15:00:00,63,4.43,9.58,4.86,5.73,6.62,7.86,5.64,5.7
2025-10-17 16:00:00,64,6.24,4.97,5.89,5.33,4.69,7.07,7.5,8.64
2025-10-17 17:00:00,65,5.81,3.89,3.26,6.3,5.79,5.66,5.88,6.76
2025-10-17 18:00:00,66,5.3,6.28,7.21,6.42,7.91,5.68,7.63,7.53
2025-10-17 19:00:00,67,7,5.31,4.08,6,5.84,4.4,4.97,9.67
2025-10-17 20:00:00,68,6.14,5,5.76,6.24,3.33,14.4,4.95,7.2
2025-10-17 21:00:00,69,7,9.82,4.64,3.75,2.8,5.2,7.54,8.67
2025-10-17 22:00:00,70,4,6.06,4.93,3.79,5.5,8.67,5,4
2025-10-17 23:00:00,71,5.23,8.29,3.86,5.47,5.78,5.2,5,2
2025-10-18 00:00:00,72,7.4,6.64,7.2,6.95,6.74,3.73,9.6,5.67
2025-10-18 01:00:00,73,4.55,7.11,4.33,3.5,7.23,5.64,6.67,6
2025-10-18 02:00:00,74,11.22,6.5,4.33,4.86,7.37,4,11.6,4
2025-10-18 03:00:00,75,6.77,7.19,5.14,5.3,6.86,4.86,4.8,8.63
2025-10-18 04:00:00,76,5.4,5.28,4,6.35,4.72,5.78,10.63,5.65
2025-10-18 05:00:00,77,8.61,8.87,4.33,6.44,4.69,8.77,6.76,4.48
2025-10-18 06:00:00,78,6,5.06,9.6,5.2,7,4,6.8,7.67
2025-10-18 07:00:00,79,4,6,5,3,5.8,13.5,7,7.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
