,Start Time:,2025-10-16 08:00:00, End Time:,2025-10-18 08:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,32,437.5,94.08,143.33,298.18,108.83,1183.33,386.89,256.15
2025-10-16 09:00:00,33,24,34,20.35,22.82,88.82,105.11,708,881.5
2025-10-16 10:00:00,34,16.43,38.3,26,14.42,20.4,24.47,257.54,77.08
2025-10-16 11:00:00,35,12.95,21.35,14.11,27.81,72.61,77.48,21.57,36
2025-10-16 12:00:00,36,32.26,51.76,70.76,15.81,15.21,12.76,60.07,10.74
2025-10-16 13:00:00,37,31.52,46.77,41.81,81,15.48,16.35,50,43.5
2025-10-16 14:00:00,38,35.95,12.81,27.83,32,8.92,16.89,11.61,23.49
2025-10-16 15:00:00,39,47.88,12.47,18.73,21.42,90.33,22.75,70.85,13.17
2025-10-16 16:00:00,40,11.02,35,22.47,16.49,10.18,22.06,23.79,151
2025-10-16 17:00:00,41,38.85,10.19,14.36,40.54,23.27,13.06,25.2,23.45
2025-10-16 18:00:00,42,22.53,24.1,27.1,66.36,29.27,42.57,63.31,31.14
2025-10-16 19:00:00,43,20.14,57.63,26.1,47.06,20.24,28.7,12,61.7
2025-10-16 20:00:00,44,102.31,163.26,166,315.82,289.33,122.25,243.14,383.33
2025-10-16 21:00:00,45,98.79,190,319.82,885,441.75,1192.67,225.07,506.86
2025-10-16 22:00:00,46,185.44,133.65,440.5,54.17,385.78,486,314.55,316.55
2025-10-16 23:00:00,47,245.86,25.26,177.5,59.78,389.11,114.25,231.87,3596
2025-10-17 00:00:00,48,167.7,84.29,120.67,185.29,286.33,44.44,589.33,1188.67
2025-10-17 01:00:00,49,16.12,246.86,710.8,64.15,704,258.83,592.67,212.29
2025-10-17 02:00:00,50,52,211.5,181.76,100.86,40.55,259.5,24.29,18.77
2025-10-17 03:00:00,51,214,37.38,60.81,59.79,8.65,23.6,9.97,437.5
2025-10-17 04:00:00,52,264.92,38.8,98.27,44.32,121.42,889.5,124.25,30.85
2025-10-17 05:00:00,53,100.13,149.73,289.17,120.26,317.27,592.67,212.38,381.11
2025-10-17 06:00:00,54,115.23,24.86,349.6,140.52,276.33,889.5,226.8,184.44
2025-10-17 07:00:00,55,21.69,198,117.45,714,19.06,40.87,581.67,50.56
2025-10-17 08:00:00,56,183.13,113.74,98.11,56,122.22,114.62,229.73,153.91
2025-10-17 09:00:00,57,40.55,15.72,12.26,30.47,35.69,14.74,51.52,17.13
2025-10-17 10:00:00,58,95.38,85,126,11.14,53.87,37.94,24.71,35.19
2025-10-17 11:00:00,59,51.18,8.58,14.93,25.1,45.05,10.76,146.19,16.51
2025-10-17 12:00:00,60,24,87.67,39.42,8.68,20.24,27.2,51.39,25.23
2025-10-17 13:00:00,61,95.77,20.59,22.78,36.79,24.72,19.61,29.74,8.88
2025-10-17 14:00:00,62,29.55,8.5,7.53,12.97,150.8,35.27,49.88,51.73
2025-10-17 15:00:00,63,27.76,114.53,13,10.47,9.75,8.54,32.69,9.58
2025-10-17 16:00:00,64,16.48,17.58,23.18,12.97,24.98,12.86,45.37,27.7
2025-10-17 17:00:00,65,50.43,56.67,25.58,39.19,80.36,25.18,10.44,6.76
2025-10-17 18:00:00,66,9.33,19.54,11.73,7.71,16.19,151.5,8.81,39.78
2025-10-17 19:00:00,67,37.95,59.8,48.49,24.37,30.36,21.4,42.68,18.83
2025-10-17 20:00:00,68,75.03,71.88,115.68,150.1,202.94,431.5,108.31,229.73
2025-10-17 21:00:00,69,114.71,184.11,75.1,21.36,505.71,440.5,166.5,385.33
2025-10-17 22:00:00,70,65.3,51.03,31.95,106.96,116,177.88,392.67,500
2025-10-17 23:00:00,71,207.63,208.25,121.33,39.61,15.51,193.88,316.36,891
2025-10-18 00:00:00,72,228.8,28.03,289.33,108.71,120.37,71.21,387.33,314
2025-10-18 01:00:00,73,267.69,106.22,194.63,216.75,107.73,33.66,438,502.57
2025-10-18 02:00:00,74,134.5,244.86,19.33,14.24,110.28,348.4,288.83,890.5
2025-10-18 03:00:00,75,122.7,56.27,75.33,31.82,127,164,26.26,153.43
2025-10-18 04:00:00,76,27.72,43.73,29.63,22.46,11.21,30.24,12.57,52.98
2025-10-18 05:00:00,77,37.4,80,131.27,229.07,75.28,42.33,102.65,50.75
2025-10-18 06:00:00,78,150.64,91.61,314.36,150.53,227.07,503.43,437.5,22.32
2025-10-18 07:00:00,79,265.54,222.29,496.29,319.64,187.22,877.5,264,15.46
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
