,Start Time:,2025-10-10 08:00:00, End Time:,2025-10-10 13:15:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-10 08:00:00,56,0,0,0,0,0,0,0,0
2025-10-10 08:01:00,56.02,0,0,0,0,0,0,0,0
2025-10-10 08:02:00,56.03,0,0,0,0,0,0,0,0
2025-10-10 08:03:00,56.05,0,0,0,0,4,0,0,0
2025-10-10 08:04:00,56.07,0,0,0,0,12,0,0,0
2025-10-10 08:05:00,56.08,0,0,0,0,2,0,0,0
2025-10-10 08:06:00,56.1,0,0,0,0,0,0,0,0
2025-10-10 08:07:00,56.12,0,0,0,0,0,0,0,0
2025-10-10 08:08:00,56.13,0,0,0,0,0,0,0,0
2025-10-10 08:09:00,56.15,0,0,0,0,0,0,0,0
2025-10-10 08:10:00,56.17,0,0,0,0,3.33,0,0,0
2025-10-10 08:11:00,56.18,0,0,0,0,0,0,0,0
2025-10-10 08:12:00,56.2,0,0,0,0,0,0,0,0
2025-10-10 08:13:00,56.22,0,0,0,0,0,0,0,0
2025-10-10 08:14:00,56.23,0,0,0,0,4,2,0,0
2025-10-10 08:15:00,56.25,0,0,0,0,0,6,0,0
2025-10-10 08:16:00,56.27,0,0,2,0,0,2,0,0
2025-10-10 08:17:00,56.28,2,0,0,0,0,4,0,0
2025-10-10 08:18:00,56.3,0,0,0,0,30,0,0,0
2025-10-10 08:19:00,56.32,0,0,0,0,4,0,6,0
2025-10-10 08:20:00,56.33,0,0,0,0,0,0,0,0
2025-10-10 08:21:00,56.35,0,0,0,0,6,0,0,0
2025-10-10 08:22:00,56.37,0,0,4,0,0,0,0,0
2025-10-10 08:23:00,56.38,0,0,0,0,0,0,0,0
2025-10-10 08:24:00,56.4,0,0,6,0,0,10,0,0
2025-10-10 08:25:00,56.42,22,0,0,0,0,0,0,0
2025-10-10 08:26:00,56.43,3,0,0,0,0,0,0,0
2025-10-10 08:27:00,56.45,0,0,0,0,2,0,0,0
2025-10-10 08:28:00,56.47,0,0,0,0,2,4,0,12
2025-10-10 08:29:00,56.48,0,0,0,0,0,0,0,8
2025-10-10 08:30:00,56.5,0,0,0,0,8,0,0,0
2025-10-10 08:31:00,56.52,0,0,0,0,4,0,0,0
2025-10-10 08:32:00,56.53,0,0,0,0,2,0,0,0
2025-10-10 08:33:00,56.55,0,0,0,0,0,6,12,0
2025-10-10 08:34:00,56.57,0,0,0,2,0,6,0,0
2025-10-10 08:35:00,56.58,0,0,0,0,8,4,0,0
2025-10-10 08:36:00,56.6,0,0,0,0,0,7.33,0,0
2025-10-10 08:37:00,56.62,0,0,0,0,6,6,0,0
2025-10-10 08:38:00,56.63,0,9.33,0,0,0,0,0,0
2025-10-10 08:39:00,56.65,0,2,0,0,0,7,0,0
2025-10-10 08:40:00,56.67,2,4,0,0,0,4,0,0
2025-10-10 08:41:00,56.68,0,0,0,0,0,16,6,0
2025-10-10 08:42:00,56.7,0,0,0,0,12,2,4.67,0
2025-10-10 08:43:00,56.72,0,3,0,0,6,6.67,6,0
2025-10-10 08:44:00,56.73,0,2,0,0,0,0,0,0
2025-10-10 08:45:00,56.75,0,0,0,0,0,2,2,0
2025-10-10 08:46:00,56.77,0,0,2,0,0,0,2,0
2025-10-10 08:47:00,56.78,0,2,0,0,0,0,0,0
2025-10-10 08:48:00,56.8,0,4,0,0,0,0,6,0
2025-10-10 08:49:00,56.82,0,0,0,0,0,0,0,0
2025-10-10 08:50:00,56.83,0,0,0,0,0,0,0,0
2025-10-10 08:51:00,56.85,0,2.67,0,0,0,0,0,8
2025-10-10 08:52:00,56.87,0,0,0,0,2,0,0,12
2025-10-10 08:53:00,56.88,0,0,4,0,4,5,0,3
2025-10-10 08:54:00,56.9,0,0,0,0,0,4,0,0
2025-10-10 08:55:00,56.92,6,2,0,0,0,0,26,0
2025-10-10 08:56:00,56.93,2,3,0,0,0,0,4,0
2025-10-10 08:57:00,56.95,0,0,0,0,0,2,8,0
2025-10-10 08:58:00,56.97,6,2,0,0,0,2,4,0
2025-10-10 08:59:00,56.98,4,10,2,0,0,0,2,2
2025-10-10 09:00:00,57,2,3,0,0,0,2,2,4
2025-10-10 09:01:00,57.02,0,2,0,0,0,4,2,0
2025-10-10 09:02:00,57.03,9,8,0,0,8,16,2,0
2025-10-10 09:03:00,57.05,2,0,0,4,0,4.67,2,0
2025-10-10 09:04:00,57.07,0,19,0,0,0,0,0,0
2025-10-10 09:05:00,57.08,2,6,0,0,0,0,2,0
2025-10-10 09:06:00,57.1,2,4,0,0,0,4,2,0
2025-10-10 09:07:00,57.12,7,0,14,0,0,0,2,4
2025-10-10 09:08:00,57.13,4,5,0,0,0,2,0,4
2025-10-10 09:09:00,57.15,8,2,0,0,0,0,0,0
2025-10-10 09:10:00,57.17,4,0,0,0,6,0,0,0
2025-10-10 09:11:00,57.18,4,0,2,0,0,4,8,0
2025-10-10 09:12:00,57.2,2,0,0,0,0,0,0,6
2025-10-10 09:13:00,57.22,4,0,0,0,0,18,0,0
2025-10-10 09:14:00,57.23,2,2,0,8,0,2,0,2
2025-10-10 09:15:00,57.25,2,0,0,0,4,2,2,4
2025-10-10 09:16:00,57.27,0,8,0,0,0,9,0,5
2025-10-10 09:17:00,57.28,10,15,0,0,0,2,0,2
2025-10-10 09:18:00,57.3,0,4.5,0,0,0,0,0,0
2025-10-10 09:19:00,57.32,0,4,0,0,0,0,8,0
2025-10-10 09:20:00,57.33,0,0,0,0,0,2,2,0
2025-10-10 09:21:00,57.35,0,0,0,0,0,2,6,0
2025-10-10 09:22:00,57.37,0,0,0,0,0,2,4,0
2025-10-10 09:23:00,57.38,8,0,0,0,0,6,0,0
2025-10-10 09:24:00,57.4,8.67,2,4,0,9,4,0,4
2025-10-10 09:25:00,57.42,0,4,0,0,4,10,0,2
2025-10-10 09:26:00,57.43,0,10,14,0,2,6,0,0
2025-10-10 09:27:00,57.45,0,0,0,0,0,2,2,2
2025-10-10 09:28:00,57.47,4,0,0,13,0,0,20,0
2025-10-10 09:29:00,57.48,9,2,0,0,0,0,14,0
2025-10-10 09:30:00,57.5,0,0,0,0,0,2,2,4
2025-10-10 09:31:00,57.52,0,0,2,0,2,0,5,0
2025-10-10 09:32:00,57.53,0,2,4,0,0,7,3.33,0
2025-10-10 09:33:00,57.55,2,5,0,0,0,6,0,0
2025-10-10 09:34:00,57.57,0,8,0,0,0,2,0,0
2025-10-10 09:35:00,57.58,0,0,2,0,0,0,4,8
2025-10-10 09:36:00,57.6,0,6,4,2,0,0,0,0
2025-10-10 09:37:00,57.62,0,4,6,0,0,0,0,0
2025-10-10 09:38:00,57.63,0,0,0,18,0,0,0,0
2025-10-10 09:39:00,57.65,0,15,2,3,6,0,0,0
2025-10-10 09:40:00,57.67,0,0,0,4,0,0,0,0
2025-10-10 09:41:00,57.68,0,5,3,14,0,2,0,0
2025-10-10 09:42:00,57.7,0,4,6,2,0,0,0,0
2025-10-10 09:43:00,57.72,0,0,0,0,0,0,0,0
2025-10-10 09:44:00,57.73,0,0,5,0,0,0,0,0
2025-10-10 09:45:00,57.75,0,0,2,4,0,8,0,0
2025-10-10 09:46:00,57.77,3.5,0,4,2,0,14,0,0
2025-10-10 09:47:00,57.78,6,2,2,0,0,0,0,0
2025-10-10 09:48:00,57.8,2,0,7,4,0,10,0,0
2025-10-10 09:49:00,57.82,0,0,8,0,0,9.33,0,2
2025-10-10 09:50:00,57.83,0,9,0,0,0,2,2,0
2025-10-10 09:51:00,57.85,5,4,2,8,0,2.67,0,0
2025-10-10 09:52:00,57.87,2,2,0,4.67,0,2,0,22
2025-10-10 09:53:00,57.88,7,0,2,4,2,0,0,0
2025-10-10 09:54:00,57.9,2,2,6,6,0,4,0,0
2025-10-10 09:55:00,57.92,2,0,0,2,0,0,0,0
2025-10-10 09:56:00,57.93,0,0,0,0,0,6,0,0
2025-10-10 09:57:00,57.95,0,0,4,0,0,12.67,0,0
2025-10-10 09:58:00,57.97,5,2,2,6,4,5.5,0,0
2025-10-10 09:59:00,57.98,4,4,0,4,0,0,0,0
2025-10-10 10:00:00,58,2.67,0,0,2,0,0,0,0
2025-10-10 10:01:00,58.02,2,0,2,8,0,0,0,0
