,Start Time:,2025-10-09 07:00:00, End Time:,2025-10-11 09:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-09 07:00:00,31,64.71,30.63,266.31,892.5,119.6,1193.33,66.34,28.92
2025-10-09 08:00:00,32,48.75,200.27,181.44,390.75,91.17,1191.33,1786,103.78
2025-10-09 09:00:00,33,17.7,12.26,31.87,15.13,26.86,95.79,3596,28.07
2025-10-09 10:00:00,34,33.03,55.43,104.9,242.92,33.49,29.87,122.1,64.38
2025-10-09 11:00:00,35,61.5,23.54,55.56,7.04,59.63,16.04,14.56,10
2025-10-09 12:00:00,36,58.14,29.2,11.19,22.26,31,108.11,58.31,33.75
2025-10-09 13:00:00,37,21.95,26.68,42.29,112.52,9.61,31.18,87.58,27.24
2025-10-09 14:00:00,38,26.7,46.82,30.21,12.86,98.48,7.67,8.84,101.29
2025-10-09 15:00:00,39,68.07,41.77,72.64,24.4,45.6,14.25,19,25.37
2025-10-09 16:00:00,40,8.59,40.57,10.61,16.21,15,29.41,38.19,41.29
2025-10-09 17:00:00,41,51.74,52.79,36.14,24.3,24.65,37.64,73.59,17.63
2025-10-09 18:00:00,42,20.06,18.35,15.33,44.2,43.76,24.89,7.12,32.47
2025-10-09 19:00:00,43,46.91,67.07,66.72,28.26,34.75,100.88,74.31,24.55
2025-10-09 20:00:00,44,139.36,69.94,131.65,894.5,175.37,351.56,498.86,314.36
2025-10-09 21:00:00,45,113.67,127,205.06,247,54.86,500.57,503.43,45.88
2025-10-09 22:00:00,46,441.25,160.78,312.36,1191.33,95.44,3596,3596,158.1
2025-10-09 23:00:00,47,35.64,53.43,29.04,442.5,248.14,277.67,1792,593
2025-10-10 00:00:00,48,118.32,103.23,27.94,713.6,45.89,51.58,36.41,51.46
2025-10-10 01:00:00,49,40.36,144.82,291.17,138.5,105.71,305.82,124.5,36.16
2025-10-10 02:00:00,50,49.61,27.84,200.12,22.44,39.16,33.33,711.6,288.33
2025-10-10 03:00:00,51,97.7,47.94,212.5,216.5,18.4,45,108.57,62.45
2025-10-10 04:00:00,52,31.35,75.31,15.2,89.71,122.96,713.2,10.43,72.21
2025-10-10 05:00:00,53,56.89,110.58,57.12,290.5,204.62,209.6,113.22,96
2025-10-10 06:00:00,54,117.36,105.24,188.56,886.5,246.43,94.48,1192,29.33
2025-10-10 07:00:00,55,27.54,440,383.78,3596,33.28,703.6,710.8,94
2025-10-10 08:00:00,56,204.5,99.36,350.6,886.5,92.35,63.4,110.83,263.23
2025-10-10 09:00:00,57,31.79,13.83,87.93,110.52,64.83,14.83,46.36,63.11
2025-10-10 10:00:00,58,22.71,88.59,128.57,17.73,34.29,30.24,52.13,48.06
2025-10-10 11:00:00,59,52.56,11.73,10.06,46.31,11.77,52.96,26.13,25.39
2025-10-10 12:00:00,60,30.46,50.6,30.79,13.03,86.69,8.33,200.71,50.31
2025-10-10 13:00:00,61,25.06,96.19,14.71,41.65,18.91,11.81,10.49,20.72
2025-10-10 14:00:00,62,21.6,9.57,88.8,44.52,57.72,6.27,170.37,16.94
2025-10-10 15:00:00,63,24.77,24.86,11.5,18.22,15.7,8.47,9.68,37.51
2025-10-10 16:00:00,64,79.55,20.43,8.67,11.78,13.85,61,87.67,12.13
2025-10-10 17:00:00,65,14.91,36.16,42.61,38.88,30.1,7.76,18.41,31.63
2025-10-10 18:00:00,66,31,29.93,18.4,33.66,49.29,9.87,32.57,42.69
2025-10-10 19:00:00,67,67.87,17.1,26.24,13.95,27.33,31.36,39.24,44.44
2025-10-10 20:00:00,68,105,319.82,692.8,145.45,79.15,579,584.33,79.56
2025-10-10 21:00:00,69,81.2,83.11,1188.67,31.52,70.11,214.25,99.52,79.5
2025-10-10 22:00:00,70,57.79,63.87,227.73,153.45,27.42,712.4,390.89,59.61
2025-10-10 23:00:00,71,73.66,80.2,200.12,182.59,154.2,505.14,39.72,41.78
2025-10-11 00:00:00,72,27.07,121.14,40.67,148.18,115.67,350.6,1193.33,266.92
2025-10-11 01:00:00,73,49.02,52.11,20.73,17.8,72.58,122,712.8,35.87
2025-10-11 02:00:00,74,84.83,216.14,352.2,13.62,32.04,34.43,3596,59.55
2025-10-11 03:00:00,75,54.39,25.35,1793,126.46,124.25,28.47,151.37,165.56
2025-10-11 04:00:00,76,60.37,99.72,440,26.89,50.15,26.77,14.86,25.48
2025-10-11 05:00:00,77,77.42,97.7,1192.67,50,82.19,50.45,75.36,199.76
2025-10-11 06:00:00,78,117.14,200.57,591.67,227.47,35.36,68.42,504,56.91
2025-10-11 07:00:00,79,24.23,36.15,501.71,503.14,61.67,81.28,304.55,9.84
2025-10-11 08:00:00,80,23.92,388,223,310.91,61.71,18.09,160,284
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
