,Start Time:,2025-10-09 07:00:00, End Time:,2025-10-11 09:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-09 07:00:00,31,31.67,46.74,6,2,23.41,2,42.06,38.96
2025-10-09 08:00:00,32,59.61,15.24,6,35.45,44.54,5,10,25.73
2025-10-09 09:00:00,33,47.04,62.57,56.59,45.02,50.98,22.92,0,52.09
2025-10-09 10:00:00,34,44.04,43.13,45.85,32.89,44.4,51.24,29.14,26.71
2025-10-09 11:00:00,35,39.94,39.93,38.06,40.21,50.91,35.54,50.43,56.56
2025-10-09 12:00:00,36,58.07,43.53,51.62,51.55,48.87,36.97,42.31,44.71
2025-10-09 13:00:00,37,42,36.58,52.72,26.07,63.64,34.24,41.07,37.07
2025-10-09 14:00:00,38,35.31,58.16,38.35,45.12,50,46.86,56.51,22.92
2025-10-09 15:00:00,39,52.07,62.29,46.19,38.17,58.51,40.27,51.92,34.03
2025-10-09 16:00:00,40,48.32,41.56,43.33,47.85,35.4,54.26,49.9,61.7
2025-10-09 17:00:00,41,36.94,45.38,38.09,25,43.71,43.78,45.36,41.04
2025-10-09 18:00:00,42,46.92,45.09,43.61,31.79,44.4,40.23,52.04,43.64
2025-10-09 19:00:00,43,26.65,31.26,28.42,26.98,25.26,29.21,44.84,30.26
2025-10-09 20:00:00,44,11.52,23.55,19.56,0,2.46,20.14,7.2,2.86
2025-10-09 21:00:00,45,25.04,49,2.5,5,25.52,3.5,4,16.92
2025-10-09 22:00:00,46,5,21.89,3.5,5,8.65,0,0,9.13
2025-10-09 23:00:00,47,24.07,32.49,29.81,3,3,10.33,0,2.67
2025-10-10 00:00:00,48,19.33,15.04,37.82,2,32.7,45.73,50.88,19.7
2025-10-10 01:00:00,49,26.2,34.8,2,4.87,12.8,16.44,32.43,33.16
2025-10-10 02:00:00,50,11.45,23.87,3.6,17.07,32.39,26.56,5.33,6.22
2025-10-10 03:00:00,51,28.36,41.17,3,3.56,30.37,19.69,46.08,21.49
2025-10-10 04:00:00,52,17.5,15.18,54.75,7,33.44,3,47.44,38
2025-10-10 05:00:00,53,19.02,34.1,64.78,5.33,4.33,22.4,34.67,26.85
2025-10-10 06:00:00,54,13.77,45.77,4.22,24,4.18,31.85,4,28.27
2025-10-10 07:00:00,55,20.55,3.33,9,0,34.91,7,4,29.84
2025-10-10 08:00:00,56,13,16.87,5.33,8,7,15.3,29.39,9.33
2025-10-10 09:00:00,57,27.08,39.55,25,24.07,76.58,33.62,36.61,47.24
2025-10-10 10:00:00,58,47.14,51.33,35.2,37.32,48.41,42.55,48.69,47.52
2025-10-10 11:00:00,59,81.12,45.27,46.24,37.85,39.81,32.45,39.06,49.64
2025-10-10 12:00:00,60,63.78,51.64,34.98,48.36,44.4,96.94,37.89,61.03
2025-10-10 13:00:00,61,49.33,18.89,45.21,42.7,34.95,39.64,46.49,52.04
2025-10-10 14:00:00,62,47.24,75.75,3.73,23.74,50.9,57.61,46.87,49.88
2025-10-10 15:00:00,63,59.05,65.03,42.61,46.52,45.21,55.13,39.54,31.67
2025-10-10 16:00:00,64,49.42,44.51,62.79,41.16,53.23,25.2,50.37,51.47
2025-10-10 17:00:00,65,54,39.42,40.98,17.68,43.45,35.7,42.76,37.83
2025-10-10 18:00:00,66,39.39,49.11,35.41,47.83,49.94,44.94,31.41,46.53
2025-10-10 19:00:00,67,44,36.62,27.69,37.07,34.2,32.16,40.43,30.94
2025-10-10 20:00:00,68,10.67,2,13.43,10.38,18,14.5,11.6,16.56
2025-10-10 21:00:00,69,6.81,25,0,17.37,14.74,4.25,36.62,7.84
2025-10-10 22:00:00,70,14,26.09,5.33,4.24,16.74,2.67,4,18.95
2025-10-10 23:00:00,71,13.06,16.49,25.82,22.94,11.3,2.67,49.74,17.39
2025-10-11 00:00:00,72,15.76,37.04,36.82,10.5,12.26,3,4,7
2025-10-11 01:00:00,73,15.62,18.21,41.05,42.67,33.5,26.67,4,21.45
2025-10-11 02:00:00,74,30.07,54.89,5.6,32.99,28.28,18.63,0,10.05
2025-10-11 03:00:00,75,29.13,26.76,2,4.4,16,13.95,27.9,24.93
2025-10-11 04:00:00,76,24.78,7.95,4,40.58,32.41,14.63,52.47,22.99
2025-10-11 05:00:00,77,30.97,27.17,10,24.29,17.74,11.91,64.59,5.56
2025-10-11 06:00:00,78,56.24,55.08,12,3.56,20.98,17.95,6,40.97
2025-10-11 07:00:00,79,42.37,18.76,10,4,44.61,28.82,6,48.22
2025-10-11 08:00:00,80,35.53,35,31.17,8,44.44,36,28.96,35.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
