,Start Time:,2025-10-09 07:00:00, End Time:,2025-10-11 09:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-09 07:00:00,31,5.61,4.67,16,4.59,4.74,4,2,6
2025-10-09 08:00:00,32,3.2,5.5,8,4.85,4.2,2,6.33,4
2025-10-09 09:00:00,33,7.6,4.26,3.92,7.29,4.4,4.67,4,6.93
2025-10-09 10:00:00,34,6.7,4.15,5.64,6.94,4.59,5.31,12.77,7.73
2025-10-09 11:00:00,35,6.74,6,10.22,7.99,5.33,6,5.31,6.88
2025-10-09 12:00:00,36,8.31,5.15,5.17,7.15,7.56,4.33,4.28,6.23
2025-10-09 13:00:00,37,6.36,5.83,5.36,8.02,6.52,12.11,6.21,7.4
2025-10-09 14:00:00,38,7.43,10.77,8.81,6.83,4.87,4.78,9.78,7.83
2025-10-09 15:00:00,39,6.76,6.97,11.45,7.97,5.73,6.27,5.57,8.8
2025-10-09 16:00:00,40,6,7.23,7.2,7.87,8.88,5.91,6.97,11.14
2025-10-09 17:00:00,41,7.27,6.7,7.33,7.22,10.29,4.32,6.61,4.06
2025-10-09 18:00:00,42,5.93,8.61,4.53,8.24,4.43,5.19,4.9,5.43
2025-10-09 19:00:00,43,6.31,6.25,5.74,7.35,3.2,4.76,5.33,4.8
2025-10-09 20:00:00,44,4.36,4.38,14.75,5.75,5,6,5.67,0
2025-10-09 21:00:00,45,3.33,6.67,5.71,5.74,0,0,3.71,4
2025-10-09 22:00:00,46,6.22,5.91,5.74,7.26,0,8,2,2
2025-10-09 23:00:00,47,6,4,4.22,5.67,3.33,8,14,14
2025-10-10 00:00:00,48,4,5.14,4,7.15,4.8,4.4,4.83,3.78
2025-10-10 01:00:00,49,5.33,4.37,4.15,6.47,12,4.47,6.04,4.8
2025-10-10 02:00:00,50,4.67,4.45,4.78,6.38,4.54,3.53,4.57,5.6
2025-10-10 03:00:00,51,4.4,6.26,3.64,6.89,6.67,10.22,5.33,3
2025-10-10 04:00:00,52,4,7.45,7.37,5.55,8.31,5.24,5.39,10
2025-10-10 05:00:00,53,4.44,6,3.71,6.62,4.6,7.14,3.85,2.86
2025-10-10 06:00:00,54,4.57,8,7,5.45,14.33,6,4.67,8
2025-10-10 07:00:00,55,4.86,8,8.55,4.39,8,11.56,0,2.67
2025-10-10 08:00:00,56,7.03,4.77,3.69,2,5,4.3,5.12,6.13
2025-10-10 09:00:00,57,7.61,7.04,3.78,3.64,4.17,7.17,4.16,4.26
2025-10-10 10:00:00,58,6.9,6.34,6.97,4,3.2,5.37,4.97,5.76
2025-10-10 11:00:00,59,8.76,9.12,7.64,7.07,7.67,5.27,7.89,5.45
2025-10-10 12:00:00,60,7,6.26,7.05,3.53,5.86,7.56,5.73,6.95
2025-10-10 13:00:00,61,7.28,5.52,7.72,5.45,4.09,8.38,8.64,3.79
2025-10-10 14:00:00,62,7.23,4.09,9.79,4,4,7.6,5.13,7.89
2025-10-10 15:00:00,63,4.26,4.2,7.3,5,5.17,2.55,11.24,2.86
2025-10-10 16:00:00,64,6.38,4.28,7.22,8.08,7.2,7.72,7.43,8
2025-10-10 17:00:00,65,4.83,5.53,5.09,5.43,7.37,5.74,6.41,6
2025-10-10 18:00:00,66,7.24,5.56,7.13,12.23,2.93,5.52,8.29,4.8
2025-10-10 19:00:00,67,6.18,7.39,7.88,5.92,6.74,4.09,4,6.31
2025-10-10 20:00:00,68,5.85,5.54,5.44,6.43,5.54,5.6,7.19,4.91
2025-10-10 21:00:00,69,3.41,4.87,5.2,10.67,5.33,3.25,3.93,3.4
2025-10-10 22:00:00,70,3.75,5.67,7.56,6.11,3.25,3.82,4.67,2.89
2025-10-10 23:00:00,71,3.14,7.08,7.04,5.85,4.67,4.77,4,3.78
2025-10-11 00:00:00,72,4.53,4.83,5.6,4,6.27,6,6,2.4
2025-10-11 01:00:00,73,4.42,10,4.25,4,5.45,5.61,5.28,5.43
2025-10-11 02:00:00,74,8.17,4.85,4.45,4.73,3.6,6,0,3.2
2025-10-11 03:00:00,75,3.43,6.26,6.83,8.21,2.44,4.15,6.32,2.33
2025-10-11 04:00:00,76,5.38,7.23,6.89,7.9,7.2,3.92,7,7.5
2025-10-11 05:00:00,77,3.47,5.87,4.42,5.88,10,6.74,0,4.67
2025-10-11 06:00:00,78,6,5.93,8.53,6.18,5.14,5.56,0,2.33
2025-10-11 07:00:00,79,4.25,14,4,9.23,8.29,3.22,4.8,2
2025-10-11 08:00:00,80,0,10,7,8.89,2.67,4,11.18,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
