Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
9/5/2025 10:00,10,100,99.89,99.89,100,66.11,99.78,98.5,100
9/5/2025 11:00,11,75.17,98.61,97.44,25.28,47.06,100,69.11,68.22
9/5/2025 12:00,12,37.94,54.56,44.61,92,8.56,55.94,40.83,30.78
9/5/2025 13:00,13,43.22,26,37.22,10.11,30.28,31.22,52.5,34.67
9/5/2025 14:00,14,55.06,58.94,28.28,22.94,44.39,27.78,22.39,18.39
9/5/2025 15:00,15,23.06,10.44,41.28,36.44,24.61,47.83,39.28,29.17
9/5/2025 16:00,16,52.61,39.56,35.06,56.22,34.22,58.22,94.67,41.06
9/5/2025 17:00,17,49.56,28.39,66.06,13.33,34.33,19.56,29.28,97.78
9/5/2025 18:00,18,46.39,30.17,30.39,77.5,39.67,18.78,37.83,28.28
9/5/2025 19:00,19,56.17,75.06,36.83,36.33,43.17,41.28,54.28,41.94
9/5/2025 20:00,20,88.33,97,88.06,86,72.56,81.17,72.28,86.56
9/5/2025 21:00,21,96.28,98.72,96.17,89.17,99.83,99.67,96.78,99.89
9/5/2025 22:00,22,64.72,97.33,64.94,30.17,96.22,99.5,55.61,99.33
9/5/2025 23:00,23,40.33,90.22,93.11,67.33,42.33,85.5,51.89,80.17
9/6/2025 0:00,24,64.44,35.28,78.17,37.72,96.61,28.17,75.44,40.94
9/6/2025 1:00,25,98.44,85.22,82.22,90.06,41.94,87.5,74.61,92.17
9/6/2025 2:00,26,71.72,98,84.67,35.5,48.28,72.11,90.5,96.56
9/6/2025 3:00,27,64.78,86.06,60.28,70,95.94,94.72,60.61,47.33
9/6/2025 4:00,28,60,55.22,93.83,25.17,97.72,97.33,98.72,46.44
9/6/2025 5:00,29,27.06,59.39,34.17,35,98.28,23.11,42,22.94
9/6/2025 6:00,30,46.22,21,32.5,81.44,35.94,35,85.22,57.94
9/6/2025 7:00,31,48.61,76,76.28,15.94,49.33,85.83,17.83,70.94
9/6/2025 8:00,32,59.72,80.44,18.61,56.17,42.17,41,62.33,93.83
9/6/2025 9:00,33,38.94,53.22,67.39,47.61,19.17,72.83,53.22,41.33
9/6/2025 10:00,34,42.28,40.61,25.78,26.44,70.44,39.22,32.72,13.78
