Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,15,49.44,73.17,54.33,48.83,52.06,68.89,62.06,46.11
2025-09-08 16:00:00,16,32.11,31.72,40.61,30.67,34.06,26.33,31.67,33.33
2025-09-08 17:00:00,17,51.94,16.94,29.56,72.78,25.44,30.89,21.44,29.67
2025-09-08 18:00:00,18,43.83,37.56,34.67,28.06,45.5,30.61,76,50.72
2025-09-08 19:00:00,19,55.67,56.39,42.39,54,41.61,60.61,38.61,37.61
2025-09-08 20:00:00,20,83.94,96.39,90.17,88.83,82.11,83.5,95.89,99.22
2025-09-08 21:00:00,21,81.61,93.89,97.44,94.56,99.5,99.67,96.61,56.17
2025-09-08 22:00:00,22,47.33,85.5,100,96.94,82,79.83,80.06,97.17
2025-09-08 23:00:00,23,93.72,46.17,99.28,88.78,66.61,48.56,30.78,81.28
2025-09-09 00:00:00,24,54.94,79.11,99.44,18.33,36,46.06,39.94,33.61
2025-09-09 01:00:00,25,44.33,38.94,96.06,30.94,34.83,98.72,28.11,89.83
2025-09-09 02:00:00,26,79.72,74.61,67.33,72.39,77.61,59.39,52.39,43.72
2025-09-09 03:00:00,27,66.67,62.61,30.28,95.11,72.22,53.44,93.44,71.78
2025-09-09 04:00:00,28,79.78,94.17,79.39,31.44,93.28,88.72,48.5,94.72
2025-09-09 05:00:00,29,83.83,93.56,36.17,98,48.94,97.89,83.33,66.89
2025-09-09 06:00:00,30,35.83,45.17,52.67,62.78,67.22,97.94,27.22,94.22
2025-09-09 07:00:00,31,46.5,25.72,30.33,20.67,59.94,42.06,93.11,62.11
2025-09-09 08:00:00,32,52.22,85.78,62.56,34.72,35.11,49.83,50,47.06
2025-09-09 09:00:00,33,37.06,23.28,19.06,57.06,39.67,30,33.44,24.89
2025-09-09 10:00:00,34,57.33,37.22,9.44,23.56,19.83,27.89,42.06,63.22
2025-09-09 11:00:00,35,29.94,17.56,42.67,37.39,82.89,66.11,23.11,28.78
2025-09-09 12:00:00,36,49.22,26.56,5,15.83,9.72,19.06,17.22,18.5
2025-09-09 13:00:00,37,18.33,34.61,30.5,26.94,46.56,41.61,26.78,23.11
2025-09-09 14:00:00,38,32.39,27,8.72,30.56,36.72,38.5,64.5,33.72
2025-09-09 15:00:00,39,22.33,94.94,24.83,20.06,35.89,17,14.11,23.44
2025-09-09 16:00:00,40,20.67,17.39,23.72,67.11,55.61,35.56,22.17,15.17
2025-09-09 17:00:00,41,72.67,66.22,37.06,21.67,24.5,63.94,91.17,91.5
2025-09-09 18:00:00,42,25.44,35.94,36.78,57.11,44.22,12.94,21.17,26.11
2025-09-09 19:00:00,43,54.61,51.39,63.56,54.89,51.22,45.56,54.72,49.61
2025-09-09 20:00:00,44,61.22,66.61,57.11,71.67,83.06,86.33,95.67,81.22
