,Start Time:,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,15,39.18,35.64,27.92,32.83,43.89,49.9,38.2,35.78
2025-09-08 16:00:00,16,40.12,49.07,39.69,32.3,44.77,63.89,40.19,31.8
2025-09-08 17:00:00,17,41.65,39.25,49.78,46.56,47.5,56.37,37.84,39.71
2025-09-08 18:00:00,18,46.83,30.13,43,39.56,41.33,51.35,31.74,30
2025-09-08 19:00:00,19,31.59,32.34,28.1,36.47,28.72,38.9,29.82,31.83
2025-09-08 20:00:00,20,20.8,3.67,20,28,17.18,38.77,16,4
2025-09-08 21:00:00,21,25.29,10.5,2,0,2,0,4.29,22.71
2025-09-08 22:00:00,22,26.25,20.42,0,5,39.69,51.54,27.79,5.5
2025-09-08 23:00:00,23,5,30.88,2,34.22,28.38,37.32,45.32,44.92
2025-09-09 00:00:00,24,35.05,17.94,4,36.03,33.41,35.62,33.84,24.7
2025-09-09 01:00:00,25,21.27,27.94,10.5,30.25,24.62,4,31.5,5.39
2025-09-09 02:00:00,26,12.42,26.29,26.48,14.31,22.16,52.08,28,15.87
2025-09-09 03:00:00,27,31,17.69,21.9,3.33,27.92,24.39,6.86,10.88
2025-09-09 04:00:00,28,14.97,5.45,8,39.27,12.44,16.33,35.91,5.78
2025-09-09 05:00:00,29,3.71,8.91,53.37,2,22.46,4,23.71,23.32
2025-09-09 06:00:00,30,39.72,29.53,48.53,70.12,31.33,5.2,44.73,8.5
2025-09-09 07:00:00,31,44.44,34.58,51.33,42.11,59.09,34.34,6.5,33.6
2025-09-09 08:00:00,32,41.21,17.6,30.23,42.13,39.55,35.71,59.78,47.12
2025-09-09 09:00:00,33,42.13,54.56,66.46,43.72,39.41,56.4,54,51
2025-09-09 10:00:00,34,55.65,32.62,65.07,44.04,46.87,45.08,36.57,45.52
2025-09-09 11:00:00,35,45.71,49.61,24.47,39.17,33.71,87.69,35.6,49.07
2025-09-09 12:00:00,36,34.71,49.74,76.29,42.4,46.1,56.49,48.59,50.28
2025-09-09 13:00:00,37,51.71,41.43,38.15,43.76,49.15,54.69,49.16,48.39
2025-09-09 14:00:00,38,49.43,39.07,55.36,48.9,38.47,48.45,26.38,50
2025-09-09 15:00:00,39,29.59,9.5,52.5,49.27,45.16,44.68,65.07,40.62
2025-09-09 16:00:00,40,52.13,71.03,43.46,39.44,46.67,41.3,44.86,57.7
2025-09-09 17:00:00,41,24.96,37.42,47.73,44.42,43.67,56.3,5.13,29
2025-09-09 18:00:00,42,51.36,54.59,43.53,46.48,36.89,73.38,44.75,36.26
2025-09-09 19:00:00,43,22.6,34.57,66.32,45.73,33.1,42.72,32.14,33.14
2025-09-09 20:00:00,44,24.45,36.67,33.71,20.91,22.1,22.42,5.33,22.64
2025-09-09 21:00:00,45,17.48,18.13,24.96,15.73,20.48,8,14,29
2025-09-09 22:00:00,46,34.91,33,28.87,19.54,33.11,6.71,2,16
2025-09-09 23:00:00,47,31.9,19.86,33.55,3.67,25.06,60.53,40.08,5.2
2025-09-10 00:00:00,48,27.96,40.75,3.5,9,24.41,32.71,39.23,45.73
2025-09-10 01:00:00,49,19.87,36.63,26.38,34.55,32.4,5.45,40.1,23.5
2025-09-10 02:00:00,50,42.4,26.04,20.79,27.45,17.59,38,33.07,49.47
2025-09-10 03:00:00,51,31.38,19.24,24.13,18.65,2,29.8,64,30.3
2025-09-10 04:00:00,52,15.38,17.33,13.79,5,28.42,24,16.44,19.04
2025-09-10 05:00:00,53,6,25.43,8.67,27.54,22.2,35.52,6.46,12.15
2025-09-10 06:00:00,54,42.15,15.04,31.56,24.27,26.06,6.78,3.5,6.57
2025-09-10 07:00:00,55,5.25,33.17,36.18,42.86,26.74,28.34,43.3,2.5
2025-09-10 08:00:00,56,58.62,30.36,27.32,34.36,40.67,6.7,29.81,6
2025-09-10 09:00:00,57,32.3,41.74,43.87,31.9,52.41,46.57,60.49,7.33
2025-09-10 10:00:00,58,42.75,67.14,46.84,54.5,39.66,55.15,47,40.77
2025-09-10 11:00:00,59,47.16,50.24,50.32,50.23,40.24,52.41,35.28,53.71
2025-09-10 12:00:00,60,43.2,40.61,44.98,43.53,47.37,82.55,59.76,52.22
2025-09-10 13:00:00,61,45.13,38.26,53.74,50.83,44.51,57.03,36.19,49.14
2025-09-10 14:00:00,62,35.45,54,43.88,37.67,42.11,57.2,50.39,47.38
2025-09-10 15:00:00,63,39.37,46.19,49.3,34,49.89,50.73,30.27,53.33
2025-09-10 16:00:00,64,48.19,51.92,29.9,50.56,56.76,72.9,62.6,60.46
2025-09-10 17:00:00,65,35.62,41.07,55.13,29.65,44.81,56.43,50.21,39.78
2025-09-10 18:00:00,66,40.91,52.95,38.51,46.85,36.62,52.59,41.6,35.94
2025-09-10 19:00:00,67,37.95,34.14,37.16,25.62,39.68,47.26,32.76,48.74
2025-09-10 20:00:00,68,14.58,11.2,23.6,9,20,31.82,11.22,17.37
2025-09-10 21:00:00,69,23.13,30.23,6.6,5,18.61,2,3.11,4.67
2025-09-10 22:00:00,70,25.59,20.06,5.85,8,9.75,7.27,4.29,15
2025-09-10 23:00:00,71,8.21,10.1,3.69,4,21.2,45.33,41.9,30.7
2025-09-11 00:00:00,72,2,3,4.29,4,21.61,35.79,41,13.47
2025-09-11 01:00:00,73,41.1,23.41,6,53.88,22.33,38.4,16.67,6.57
2025-09-11 02:00:00,74,18.81,16.37,41.56,39.35,36.73,37.87,23.38,30.1
2025-09-11 03:00:00,75,3.6,14.88,19.18,6.29,22.62,30.31,32.07,14.53
2025-09-11 04:00:00,76,24.86,8.49,8,20.99,24.53,10.29,11.81,5.38
2025-09-11 05:00:00,77,21.26,2.75,4,31.1,2,3.5,7,6.36
2025-09-11 06:00:00,78,24.57,28.56,4,9,41.02,5.08,8.33,6
2025-09-11 07:00:00,79,23.07,6.31,38.35,52.28,43.48,5,35.66,7.2
