	dmso-het	drug-het
0	55880.95819104956	89501.04231249564
1	76488.99571205775	80275.99891571011
2	77471.94189155905	63428.63505556552
3	38717.97244169861	72274.35858606386
4	14145.783780803044	88840.97945183163
5	12799.868484747845	59980.98865672368
6	12691.513563387362	36207.60964633075
7	21937.238148282904	30339.871247376846
8	56989.61249437681	99151.70581462793
9	22369.135470115234	86047.93710911449
10	13386.50774092906	82860.49264223095
11	17172.005577864722	57884.23500391924
12	14765.464444047257	109363.23909315528
13		22851.622204075888
14		56954.31234305621
15		79312.79087228449
