	dmso-het	drug-het
0	310.968253968254	603.3174603174604
1	440.92063492063494	444.968253968254
2	582.3174603174604	686.952380952381
3	674.9047619047619	487.42857142857144
4	351.1111111111111	1048.079365079365
5	560.6984126984127	1028.1587301587301
6	378.968253968254	778.8095238095239
7	590.4126984126984	790.7777777777778
8	652.5555555555555	625.5396825396825
9	939.0952380952381	752.0793650793651
10	443.0952380952381	378.1746031746032
11	450.76190476190476	
12	625.2698412698413	
13	934.3650793650794	
14	912.7460317460317	
