	dmso-mut	drug-mut
0	121203.17333876634	97090.41133394816
1	63999.97817441086	44453.89740685562
2	184659.86978121134	39370.08921459752
3	110083.52334889135	32621.383982194555
4	106622.8146651881	42471.53873230375
5	40945.1457126096	34498.07047815673
6	94975.9848805675	36167.0091753568
7	91477.02590839833	20113.220110595637
8	87118.95139400342	56859.40289937603
9	78286.53752166881	41022.486949800346
10	73553.06460381362	122264.76770769927
11	49849.86590683398	49691.56903453041
12	36721.01570911905	
