	dmso-het	drug-het
0	181.9047619047619	97.77380952380952
1	144.02380952380952	197.66666666666666
2	182.98809523809524	182.97619047619048
3	106.89285714285714	122.67857142857143
4	106.21428571428571	332.3809523809524
5	230.71428571428572	266.67857142857144
6	64.80952380952381	116.55952380952381
7	89.3452380952381	135.29761904761904
8	238.13095238095238	209.4047619047619
9	289.73809523809524	171.35714285714286
10	298.2857142857143	175.0
11	244.57142857142858	140.0952380952381
12		162.46428571428572
13		251.41666666666666
14		121.0
15		105.38095238095238
16		143.8452380952381
17		154.85714285714286
18		157.8095238095238
