	dmso-het	drug-het
0	147.53999307488033	133.6098164311623
1	212.21353949964634	127.04256848788971
2	147.48345363223427	185.81432524691274
3	166.3597546024954	158.5643663665125
4	169.29301714425003	161.98962893580182
5	173.32983282839155	174.0507876474512
6	174.35559583093635	197.9475103698144
7	181.03054560773464	317.72861049565495
8	184.55582200324437	216.42618531009003
9	194.30319702992958	207.33579277521807
10	269.7662442019105	247.01615725783162
11	225.5189113210814	
12	196.55238591595085	
13	213.0748903103435	
14	251.18187877806375	
15	250.17524411113146	
