	dmso-wt	drug-wt
0	1.5340314136125655	1.463350785340314
1	2.031413612565445	2.824607329842932
2	1.725130890052356	1.963350785340314
3	1.6020942408376964	2.4554973821989527
4	2.5	2.0837696335078535
5	2.492146596858639	2.089005235602094
6	1.8324607329842932	2.141361256544503
7	1.7408376963350785	1.9214659685863875
8	1.9083769633507854	1.8534031413612566
9	2.1596858638743455	1.931937172774869
10	1.8167539267015707	1.5183246073298429
11	1.62565445026178	1.7853403141361257
12		2.235602094240838
13		1.450261780104712
14		2.573298429319372
15		2.0445026178010473
16		2.316753926701571
17		2.410994764397906
18		2.18848167539267
