	dmso-wt	drug-wt
0	180200.32774485942	376029.28955071664
1	35105.10008813327	49664.98641858544
2	129098.91627931932	117961.99696494386
3	25885.977374375645	176457.14930498874
4	77508.96671153954	166699.6499953356
5	51867.91943086376	186780.53136513082
6	84037.4857863148	140405.25669157476
7	56287.165417990975	207741.31132231295
8	284938.142303614	129880.74701798407
9	42137.961191548326	175353.20590032454
10	40444.694049187754	216368.099200717
11	39074.571752277356	
12	18687.295055553474	
13	27192.270436309554	
14	41916.989496657814	
15	33202.317587929196	
16	47911.933095640976	
