	dmso-wt	drug-wt
0	547284.2079468751	206085.74108819262
1	296983.8562948546	166317.6881776444
2	513545.3741998303	237304.9642956526
3	192222.5034782322	304945.81399100285
4	304965.6140461672	184285.83388121493
5	406421.0905028248	107797.53415873396
6	260535.23817404022	210674.8333396712
7	258851.3222272705	264461.3774441022
8	148976.72966497618	61956.24819573383
9	216458.76835337	77558.44463894218
10	91250.92121029821	386972.8947042275
11	149677.53268121925	
12	83064.7916783493	
13	120136.83748556832	
14	133068.04290960377	
15	265772.40382176195	
16	293408.87973827956	
