	dmso-mut	drug-mut
0	77922.44513633526	148352.9234516808
1	61753.03058490802	21010.11686456693
2	48864.731572834506	116402.37691550847
3	38705.62804128734	186540.14154434178
4	44554.41663967376	126461.04368813886
5	69279.74811663678	36987.89669377629
6	30200.983998953754	42766.743882462215
7	16717.014927306926	22194.925589224946
8	62725.365065811784	150168.15601424157
9	154473.8501295868	62722.523219499664
10	77101.01683350014	73967.29023076985
11	56992.025926659044	63099.25016880655
12		41605.470340316286
