	dmso-mut	drug-mut
0	39309.54916295164	227750.33217259415
1	155763.08942879364	15384.365701641485
2	27897.04486727376	105896.55018554148
3	34125.65846756355	75209.83920058368
4	27711.439284679065	320912.79563255905
5	98273.86777073162	14423.233459246558
6	31765.70319209217	25939.725546850925
7	13603.368459030364	25118.744496156658
8	32136.001086949924	108195.16189966812
9	230781.18201550836	26914.374405717324
10	159620.08320335744	39310.88570179037
11	50905.69967891205	26311.594664480577
12		23891.29729417427
