	dmso	drug
0	20.133333333333333	73.25
1	24.333333333333332	12.833333333333334
2	23.883333333333333	12.766666666666667
3	11.983333333333333	37.53333333333333
4	16.2	14.35
5	22.466666666666665	14.816666666666666
6	11.2	12.216666666666667
7	178.55	24.083333333333332
8	27.983333333333334	12.4
9	27.933333333333334	11.266666666666667
10	14.4	15.7
11	27.15	19.366666666666667
12	41.333333333333336	7.916666666666667
13		7.95
14		26.916666666666668
15		22.0
16		50.083333333333336
17		65.65
18		18.166666666666668
19		23.716666666666665
20		28.266666666666666
21		25.35
